certificateOfSale,parcel,saleDate
2022-C-000245,CERTIFIED,05/10/2023
2022-C-000246,CERTIFIED,05/10/2023
2022-C-000247,CERTIFIED,05/10/2023
2022-C-000248,REDEEMED,
2022-C-000249,CERTIFIED,05/10/2023
2022-C-000250,CERTIFIED,05/10/2023
2022-C-000251,CERTIFIED,05/10/2023
2022-C-000252,CERTIFIED,05/10/2023
2022-C-000253,REDEEMED,
2022-C-000254,CERTIFIED,05/10/2023
2022-C-000255,CERTIFIED,05/10/2023
2022-C-000256,CERTIFIED,05/10/2023
2022-C-000257,CERTIFIED,05/10/2023
2022-C-000258,CERTIFIED,05/10/2023
2022-C-000259,CERTIFIED,05/10/2023
2022-C-000260,CERTIFIED,05/10/2023
2022-C-000261,CERTIFIED,05/10/2023
2022-C-000262,CERTIFIED,05/10/2023
2022-C-000263,REDEEMED,
2022-C-000264,CERTIFIED,05/10/2023
2022-C-000265,CERTIFIED,05/10/2023
2022-C-000266,CERTIFIED,05/10/2023
2022-C-000267,CERTIFIED,05/10/2023
2022-C-000268,REDEEMED,
2022-C-000269,CERTIFIED,05/10/2023
2022-C-000270,CERTIFIED,05/10/2023
2022-C-000271,CERTIFIED,05/10/2023
2022-C-000272,CERTIFIED,05/10/2023
2022-C-000273,REDEEMED,
2022-C-000274,CERTIFIED,05/10/2023
2022-C-000275,CERTIFIED,05/10/2023
2022-C-000276,CERTIFIED,05/10/2023
2022-C-000277,CERTIFIED,05/10/2023
2022-C-000278,REDEEMED,
2022-C-000279,CERTIFIED,05/10/2023
2022-C-000280,CERTIFIED,05/10/2023
2022-C-000281,CERTIFIED,05/10/2023
2022-C-000282,CERTIFIED,05/10/2023
2022-C-000283,CERTIFIED,05/10/2023
2022-C-000284,REDEEMED,
2022-C-000285,CERTIFIED,05/10/2023
2022-C-000286,CERTIFIED,05/10/2023
2022-C-000287,CERTIFIED,05/10/2023
2022-C-000288,CERTIFIED,05/10/2023
2022-C-000289,CERTIFIED,05/10/2023
2022-C-000290,REDEEMED,
2022-C-000291,REDEEMED,
2022-C-000292,CERTIFIED,05/10/2023
2022-C-000293,CERTIFIED,05/10/2023
2022-C-000294,CERTIFIED,05/10/2023
2022-C-000295,CERTIFIED,05/10/2023
2022-C-000296,REDEEMED,
2022-C-000297,REDEEMED,
2022-C-000298,CERTIFIED,05/10/2023
2022-C-000299,CERTIFIED,05/10/2023
2022-C-000300,CERTIFIED,05/10/2023
2022-C-000301,CERTIFIED,05/10/2023
2022-C-000302,CERTIFIED,05/10/2023
2022-C-000303,CERTIFIED,05/10/2023
2022-C-000304,REDEEMED,
2022-C-000305,REDEEMED,
2022-C-000306,CERTIFIED,05/10/2023
2022-C-000307,CERTIFIED,05/10/2023
2022-C-000308,CERTIFIED,05/10/2023
2022-C-000309,REDEEMED,
2022-C-000310,CERTIFIED,05/10/2023
2022-C-000311,REDEEMED,
2022-C-000312,REDEEMED,
2022-C-000313,CERTIFIED,05/10/2023
2022-C-000314,REDEEMED,
2022-C-000315,CERTIFIED,05/10/2023
2022-C-000316,CERTIFIED,05/10/2023
2022-C-000317,CERTIFIED,05/10/2023
2022-C-000318,CERTIFIED,05/10/2023
2022-C-000319,CERTIFIED,05/10/2023
2022-C-000320,CERTIFIED,05/10/2023
2022-C-000321,CERTIFIED,05/10/2023
2022-C-000322,CERTIFIED,05/10/2023
2022-C-000323,CERTIFIED,05/10/2023
2022-C-000324,CERTIFIED,05/10/2023
2022-C-000325,CERTIFIED,05/10/2023
2022-C-000326,REDEEMED,
2022-C-000327,CERTIFIED,05/10/2023
2022-C-000328,CERTIFIED,05/10/2023
2022-C-000329,CERTIFIED,05/10/2023
2022-C-000330,CERTIFIED,05/10/2023
2022-C-000331,REDEEMED,
2022-C-000332,CERTIFIED,05/10/2023
2022-C-000333,CERTIFIED,05/10/2023
2022-C-000334,CERTIFIED,05/10/2023
2022-C-000335,CERTIFIED,05/10/2023
2022-C-000336,REDEEMED,
2022-C-000337,CERTIFIED,05/10/2023
2022-C-000338,CERTIFIED,05/10/2023
2022-C-000339,CERTIFIED,05/10/2023
2022-C-000340,CERTIFIED,05/10/2023
2022-C-000341,REDEEMED,
2022-C-000342,CERTIFIED,05/10/2023
2022-C-000343,CERTIFIED,05/10/2023
2022-C-000344,CERTIFIED,05/10/2023
2022-C-000345,CERTIFIED,05/10/2023
2022-C-000346,REDEEMED,
2022-C-000347,CERTIFIED,05/10/2023
2022-C-000348,CERTIFIED,05/10/2023
2022-C-000349,CERTIFIED,05/10/2023
2022-C-000350,CERTIFIED,05/10/2023
2022-C-000351,REDEEMED,
2022-C-000352,CERTIFIED,05/10/2023
2022-C-000353,CERTIFIED,05/10/2023
2022-C-000354,CERTIFIED,05/10/2023
2022-C-000355,CERTIFIED,05/10/2023
2022-C-000356,REDEEMED,
2022-C-000357,REDEEMED,
2022-C-000358,REDEEMED,
2022-C-000359,REDEEMED,
2022-C-000360,REDEEMED,
2022-C-000361,CERTIFIED,05/10/2023
2022-C-000362,REDEEMED,
2022-C-000363,CERTIFIED,05/10/2023
2022-C-000364,CERTIFIED,05/10/2023
2022-C-000365,REDEEMED,
2022-C-000366,REDEEMED,
2022-C-000367,REDEEMED,
2022-C-000368,REDEEMED,
2022-C-000369,REDEEMED,
2022-C-000370,REDEEMED,
2022-C-000371,CERTIFIED,05/10/2023
2022-C-000372,CERTIFIED,05/10/2023
2022-C-000373,REDEEMED,
2022-C-000374,CERTIFIED,05/10/2023
2022-C-000375,REDEEMED,
2022-C-000376,REDEEMED,
2022-C-000377,CERTIFIED,05/10/2023
2022-C-000378,CERTIFIED,05/10/2023
2022-C-000379,CERTIFIED,05/10/2023
2022-C-000380,CERTIFIED,05/10/2023
2022-C-000381,REDEEMED,
2022-C-000382,CERTIFIED,05/10/2023
2022-C-000383,CERTIFIED,05/10/2023
2022-C-000384,CERTIFIED,05/10/2023
2022-C-000385,REDEEMED,
2022-C-000386,CERTIFIED,05/10/2023
2022-C-000387,CERTIFIED,05/10/2023
2022-C-000388,CERTIFIED,05/10/2023
2022-C-000389,REDEEMED,
2022-C-000390,CERTIFIED,05/10/2023
2022-C-000391,CERTIFIED,05/10/2023
2022-C-000392,CERTIFIED,05/10/2023
2022-C-000393,REDEEMED,
2022-C-000394,CERTIFIED,05/10/2023
2022-C-000395,CERTIFIED,05/10/2023
2022-C-000396,CERTIFIED,05/10/2023
2022-C-000397,REDEEMED,
2022-C-000398,REDEEMED,
2022-C-000399,REDEEMED,
2022-C-000400,REDEEMED,
2022-C-000401,REDEEMED,
2022-C-000402,REDEEMED,
2022-C-000403,REDEEMED,
2022-C-000404,CERTIFIED,05/10/2023
2022-C-000405,CERTIFIED,05/10/2023
2022-C-000406,REDEEMED,
2022-C-000407,CERTIFIED,05/10/2023
2022-C-000408,CERTIFIED,05/10/2023
2022-C-000409,CERTIFIED,05/10/2023
2022-C-000410,CERTIFIED,05/10/2023
2022-C-000411,CERTIFIED,05/10/2023
2022-C-000412,REDEEMED,
2022-C-000413,CERTIFIED,05/10/2023
2022-C-000414,CERTIFIED,05/10/2023
2022-C-000415,CERTIFIED,05/10/2023
2022-C-000416,CERTIFIED,05/10/2023
2022-C-000417,REDEEMED,
2022-C-000418,CERTIFIED,05/10/2023
2022-C-000419,CERTIFIED,05/10/2023
2022-C-000420,CERTIFIED,05/10/2023
2022-C-000421,CERTIFIED,05/10/2023
2022-C-000423,REDEEMED,
2022-C-000424,CERTIFIED,05/10/2023
2022-C-000425,CERTIFIED,05/10/2023
2022-C-000426,CERTIFIED,05/10/2023
2022-C-000427,REDEEMED,
2022-C-000428,CERTIFIED,05/10/2023
2022-C-000429,CERTIFIED,05/10/2023
2022-C-000430,CERTIFIED,05/10/2023
2022-C-000431,REDEEMED,
2022-C-000432,CERTIFIED,05/10/2023
2022-C-000433,CERTIFIED,05/10/2023
2022-C-000434,CERTIFIED,05/10/2023
2022-C-000435,REDEEMED,
2022-C-000436,CERTIFIED,05/10/2023
2022-C-000437,CERTIFIED,05/10/2023
2022-C-000438,CERTIFIED,05/10/2023
2022-C-000439,REDEEMED,
2022-C-000440,CERTIFIED,05/10/2023
2022-C-000441,CERTIFIED,05/10/2023
2022-C-000442,CERTIFIED,05/10/2023
2022-C-000444,REDEEMED,
2022-C-000445,CERTIFIED,05/10/2023
2022-C-000446,CERTIFIED,05/10/2023
2022-C-000447,CERTIFIED,05/10/2023
