certificateOfSale,parcel,saleDate
2022-C-000234,CERTIFIED,05/18/2023
2022-C-000235,REDEEMED,
2022-C-000236,CERTIFIED,05/18/2023
2022-C-000237,CERTIFIED,05/18/2023
2022-C-000238,REDEEMED,
2022-C-000239,REDEEMED,
2022-C-000240,REDEEMED,
2022-C-000241,REDEEMED,
2022-C-000242,CERTIFIED,05/18/2023
2022-C-000243,REDEEMED,
2022-C-000244,CERTIFIED,05/18/2023
2022-C-000245,CERTIFIED,05/18/2023
2022-C-000246,CERTIFIED,05/18/2023
2022-C-000247,CERTIFIED,05/18/2023
2022-C-000248,CERTIFIED,05/18/2023
2022-C-000249,CERTIFIED,05/18/2023
2022-C-000250,REDEEMED,
2022-C-000251,CERTIFIED,05/18/2023
2022-C-000252,CERTIFIED,05/18/2023
2022-C-000253,CERTIFIED,05/18/2023
2022-C-000254,REDEEMED,
2022-C-000255,CERTIFIED,05/18/2023
2022-C-000256,CERTIFIED,05/18/2023
2022-C-000257,CERTIFIED,05/18/2023
2022-C-000258,CERTIFIED,05/18/2023
2022-C-000259,REDEEMED,
2022-C-000260,REDEEMED,
2022-C-000261,CERTIFIED,05/18/2023
2022-C-000262,REDEEMED,
2022-C-000263,REDEEMED,
2022-C-000264,REDEEMED,
2022-C-000265,CERTIFIED,05/18/2023
2022-C-000266,REDEEMED,
2022-C-000267,CERTIFIED,05/18/2023
2022-C-000268,CERTIFIED,05/18/2023
2022-C-000269,CERTIFIED,05/18/2023
2022-C-000270,CERTIFIED,05/18/2023
2022-C-000271,CERTIFIED,05/18/2023
2022-C-000272,CERTIFIED,05/18/2023
2022-C-000273,CERTIFIED,05/18/2023
2022-C-000274,CERTIFIED,05/18/2023
2022-C-000275,CERTIFIED,05/18/2023
2022-C-000276,REDEEMED,
2022-C-000277,REDEEMED,
2022-C-000278,CERTIFIED,05/18/2023
2022-C-000279,REDEEMED,
2022-C-000280,REDEEMED,
2022-C-000281,CERTIFIED,05/18/2023
2022-C-000282,CERTIFIED,05/18/2023
2022-C-000283,CERTIFIED,05/18/2023
2022-C-000284,CERTIFIED,05/18/2023
2022-C-000285,CERTIFIED,05/18/2023
2022-C-000286,CERTIFIED,05/18/2023
2022-C-000287,CERTIFIED,05/18/2023
2022-C-000288,CERTIFIED,05/18/2023
2022-C-000289,CERTIFIED,05/18/2023
2022-C-000290,REDEEMED,
2022-C-000291,CERTIFIED,05/18/2023
2022-C-000292,CERTIFIED,05/18/2023
2022-C-000293,CERTIFIED,05/18/2023
2022-C-000294,CERTIFIED,05/18/2023
2022-C-000295,REDEEMED,
2022-C-000296,REDEEMED,
2022-C-000297,REDEEMED,
2022-C-000298,REDEEMED,
2022-C-000299,REDEEMED,
2022-C-000300,CERTIFIED,05/18/2023
2022-C-000301,CERTIFIED,05/18/2023
